net,C,H,W,M,FH,FW,PH,PW,SH,SW,DH,DW,OH,OW,GEMM_M,GEMM_K,GEMM_N
wide_resnet50_2,256,28,28,256,3,3,1,1,1,1,1,1,28,28,256,2304,784
wide_resnet50_2,256,28,28,512,1,1,0,0,1,1,1,1,28,28,512,256,784
wide_resnet50_2,512,28,28,256,1,1,0,0,1,1,1,1,28,28,256,512,784
wide_resnet50_2,256,28,28,256,3,3,1,1,1,1,1,1,28,28,256,2304,784
wide_resnet50_2,256,28,28,512,1,1,0,0,1,1,1,1,28,28,512,256,784
wide_resnet50_2,512,28,28,256,1,1,0,0,1,1,1,1,28,28,256,512,784
wide_resnet50_2,256,28,28,256,3,3,1,1,1,1,1,1,28,28,256,2304,784
wide_resnet50_2,256,28,28,512,1,1,0,0,1,1,1,1,28,28,512,256,784
wide_resnet50_2,512,28,28,512,1,1,0,0,1,1,1,1,28,28,512,512,784
wide_resnet50_2,512,28,28,512,3,3,1,1,2,2,1,1,14,14,512,4608,196
wide_resnet50_2,512,14,14,1024,1,1,0,0,1,1,1,1,14,14,1024,512,196
wide_resnet50_2,512,28,28,1024,1,1,0,0,2,2,1,1,14,14,1024,512,196
wide_resnet50_2,1024,14,14,512,1,1,0,0,1,1,1,1,14,14,512,1024,196
wide_resnet50_2,512,14,14,512,3,3,1,1,1,1,1,1,14,14,512,4608,196
wide_resnet50_2,512,14,14,1024,1,1,0,0,1,1,1,1,14,14,1024,512,196
wide_resnet50_2,1024,14,14,512,1,1,0,0,1,1,1,1,14,14,512,1024,196
wide_resnet50_2,512,14,14,512,3,3,1,1,1,1,1,1,14,14,512,4608,196
wide_resnet50_2,512,14,14,1024,1,1,0,0,1,1,1,1,14,14,1024,512,196
wide_resnet50_2,1024,14,14,512,1,1,0,0,1,1,1,1,14,14,512,1024,196
wide_resnet50_2,512,14,14,512,3,3,1,1,1,1,1,1,14,14,512,4608,196
wide_resnet50_2,512,14,14,1024,1,1,0,0,1,1,1,1,14,14,1024,512,196
wide_resnet50_2,1024,14,14,512,1,1,0,0,1,1,1,1,14,14,512,1024,196
wide_resnet50_2,512,14,14,512,3,3,1,1,1,1,1,1,14,14,512,4608,196
wide_resnet50_2,512,14,14,1024,1,1,0,0,1,1,1,1,14,14,1024,512,196
wide_resnet50_2,1024,14,14,512,1,1,0,0,1,1,1,1,14,14,512,1024,196
wide_resnet50_2,512,14,14,512,3,3,1,1,1,1,1,1,14,14,512,4608,196
wide_resnet50_2,512,14,14,1024,1,1,0,0,1,1,1,1,14,14,1024,512,196
wide_resnet50_2,1024,14,14,1024,1,1,0,0,1,1,1,1,14,14,1024,1024,196
wide_resnet50_2,1024,14,14,1024,3,3,1,1,2,2,1,1,7,7,1024,9216,49
wide_resnet50_2,1024,7,7,2048,1,1,0,0,1,1,1,1,7,7,2048,1024,49
wide_resnet50_2,1024,14,14,2048,1,1,0,0,2,2,1,1,7,7,2048,1024,49
wide_resnet50_2,2048,7,7,1024,1,1,0,0,1,1,1,1,7,7,1024,2048,49
wide_resnet50_2,1024,7,7,1024,3,3,1,1,1,1,1,1,7,7,1024,9216,49
wide_resnet50_2,1024,7,7,2048,1,1,0,0,1,1,1,1,7,7,2048,1024,49
wide_resnet50_2,2048,7,7,1024,1,1,0,0,1,1,1,1,7,7,1024,2048,49
wide_resnet50_2,1024,7,7,1024,3,3,1,1,1,1,1,1,7,7,1024,9216,49
wide_resnet50_2,1024,7,7,2048,1,1,0,0,1,1,1,1,7,7,2048,1024,49
mnasnet1_0,3,224,224,32,3,3,1,1,2,2,1,1,112,112,32,27,12544
mnasnet1_0,32,112,112,32,3,3,1,1,1,1,1,1,112,112,32,288,12544
mnasnet1_0,32,112,112,16,1,1,0,0,1,1,1,1,112,112,16,32,12544
mnasnet1_0,16,112,112,48,1,1,0,0,1,1,1,1,112,112,48,16,12544
mnasnet1_0,48,112,112,48,3,3,1,1,2,2,1,1,56,56,48,432,3136
mnasnet1_0,48,56,56,24,1,1,0,0,1,1,1,1,56,56,24,48,3136
mnasnet1_0,24,56,56,72,1,1,0,0,1,1,1,1,56,56,72,24,3136
mnasnet1_0,72,56,56,72,3,3,1,1,1,1,1,1,56,56,72,648,3136
mnasnet1_0,72,56,56,24,1,1,0,0,1,1,1,1,56,56,24,72,3136
mnasnet1_0,24,56,56,72,1,1,0,0,1,1,1,1,56,56,72,24,3136
mnasnet1_0,72,56,56,72,3,3,1,1,1,1,1,1,56,56,72,648,3136
mnasnet1_0,72,56,56,24,1,1,0,0,1,1,1,1,56,56,24,72,3136
mnasnet1_0,24,56,56,72,1,1,0,0,1,1,1,1,56,56,72,24,3136
mnasnet1_0,72,56,56,72,5,5,2,2,2,2,1,1,28,28,72,1800,784
mnasnet1_0,72,28,28,40,1,1,0,0,1,1,1,1,28,28,40,72,784
mnasnet1_0,40,28,28,120,1,1,0,0,1,1,1,1,28,28,120,40,784
mnasnet1_0,120,28,28,120,5,5,2,2,1,1,1,1,28,28,120,3000,784
mnasnet1_0,120,28,28,40,1,1,0,0,1,1,1,1,28,28,40,120,784
mnasnet1_0,40,28,28,120,1,1,0,0,1,1,1,1,28,28,120,40,784
mnasnet1_0,120,28,28,120,5,5,2,2,1,1,1,1,28,28,120,3000,784
mnasnet1_0,120,28,28,40,1,1,0,0,1,1,1,1,28,28,40,120,784
mnasnet1_0,40,28,28,240,1,1,0,0,1,1,1,1,28,28,240,40,784
mnasnet1_0,240,28,28,240,5,5,2,2,2,2,1,1,14,14,240,6000,196
mnasnet1_0,240,14,14,80,1,1,0,0,1,1,1,1,14,14,80,240,196
mnasnet1_0,80,14,14,480,1,1,0,0,1,1,1,1,14,14,480,80,196
mnasnet1_0,480,14,14,480,5,5,2,2,1,1,1,1,14,14,480,12000,196
mnasnet1_0,480,14,14,80,1,1,0,0,1,1,1,1,14,14,80,480,196
mnasnet1_0,80,14,14,480,1,1,0,0,1,1,1,1,14,14,480,80,196
mnasnet1_0,480,14,14,480,5,5,2,2,1,1,1,1,14,14,480,12000,196
mnasnet1_0,480,14,14,80,1,1,0,0,1,1,1,1,14,14,80,480,196
mnasnet1_0,80,14,14,480,1,1,0,0,1,1,1,1,14,14,480,80,196
mnasnet1_0,480,14,14,480,3,3,1,1,1,1,1,1,14,14,480,4320,196
mnasnet1_0,480,14,14,96,1,1,0,0,1,1,1,1,14,14,96,480,196
mnasnet1_0,96,14,14,576,1,1,0,0,1,1,1,1,14,14,576,96,196
mnasnet1_0,576,14,14,576,3,3,1,1,1,1,1,1,14,14,576,5184,196
mnasnet1_0,576,14,14,96,1,1,0,0,1,1,1,1,14,14,96,576,196
mnasnet1_0,96,14,14,576,1,1,0,0,1,1,1,1,14,14,576,96,196
mnasnet1_0,576,14,14,576,5,5,2,2,2,2,1,1,7,7,576,14400,49
mnasnet1_0,576,7,7,192,1,1,0,0,1,1,1,1,7,7,192,576,49
mnasnet1_0,192,7,7,1152,1,1,0,0,1,1,1,1,7,7,1152,192,49
mnasnet1_0,1152,7,7,1152,5,5,2,2,1,1,1,1,7,7,1152,28800,49
mnasnet1_0,1152,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1152,49
mnasnet1_0,192,7,7,1152,1,1,0,0,1,1,1,1,7,7,1152,192,49
mnasnet1_0,1152,7,7,1152,5,5,2,2,1,1,1,1,7,7,1152,28800,49
mnasnet1_0,1152,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1152,49
mnasnet1_0,192,7,7,1152,1,1,0,0,1,1,1,1,7,7,1152,192,49
mnasnet1_0,1152,7,7,1152,5,5,2,2,1,1,1,1,7,7,1152,28800,49
mnasnet1_0,1152,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1152,49
mnasnet1_0,192,7,7,1152,1,1,0,0,1,1,1,1,7,7,1152,192,49
mnasnet1_0,1152,7,7,1152,3,3,1,1,1,1,1,1,7,7,1152,10368,49
mnasnet1_0,1152,7,7,320,1,1,0,0,1,1,1,1,7,7,320,1152,49
mnasnet1_0,320,7,7,1280,1,1,0,0,1,1,1,1,7,7,1280,320,49
