net,C,H,W,M,FH,FW,PH,PW,SH,SW,DH,DW,OH,OW,GEMM_M,GEMM_K,GEMM_N
densenet161,1344,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1344,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1392,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1392,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1440,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1440,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1488,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1488,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1536,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1536,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1584,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1584,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1632,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1632,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1680,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1680,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1728,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1728,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1776,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1776,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1824,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1824,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1872,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1872,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1920,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1920,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1968,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1968,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,2016,14,14,192,1,1,0,0,1,1,1,1,14,14,192,2016,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,2064,14,14,192,1,1,0,0,1,1,1,1,14,14,192,2064,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,2112,14,14,1056,1,1,0,0,1,1,1,1,14,14,1056,2112,196
densenet161,1056,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1056,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1104,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1104,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1152,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1152,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1200,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1200,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1248,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1248,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1296,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1296,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1344,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1344,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1392,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1392,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1440,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1440,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1488,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1488,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1536,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1536,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1584,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1584,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1632,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1632,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1680,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1680,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1728,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1728,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1776,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1776,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1824,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1824,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1872,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1872,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1920,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1920,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,1968,7,7,192,1,1,0,0,1,1,1,1,7,7,192,1968,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,2016,7,7,192,1,1,0,0,1,1,1,1,7,7,192,2016,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,2064,7,7,192,1,1,0,0,1,1,1,1,7,7,192,2064,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,2112,7,7,192,1,1,0,0,1,1,1,1,7,7,192,2112,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
densenet161,2160,7,7,192,1,1,0,0,1,1,1,1,7,7,192,2160,49
densenet161,192,7,7,48,3,3,1,1,1,1,1,1,7,7,48,1728,49
inception_v3,3,299,299,32,3,3,0,0,2,2,1,1,149,149,32,27,22201
inception_v3,32,149,149,32,3,3,0,0,1,1,1,1,147,147,32,288,21609
inception_v3,32,147,147,64,3,3,1,1,1,1,1,1,147,147,64,288,21609
inception_v3,64,73,73,80,1,1,0,0,1,1,1,1,73,73,80,64,5329
inception_v3,80,73,73,192,3,3,0,0,1,1,1,1,71,71,192,720,5041
inception_v3,192,35,35,64,1,1,0,0,1,1,1,1,35,35,64,192,1225
inception_v3,192,35,35,48,1,1,0,0,1,1,1,1,35,35,48,192,1225
inception_v3,48,35,35,64,5,5,2,2,1,1,1,1,35,35,64,1200,1225
inception_v3,192,35,35,64,1,1,0,0,1,1,1,1,35,35,64,192,1225
inception_v3,64,35,35,96,3,3,1,1,1,1,1,1,35,35,96,576,1225
inception_v3,96,35,35,96,3,3,1,1,1,1,1,1,35,35,96,864,1225
inception_v3,192,35,35,32,1,1,0,0,1,1,1,1,35,35,32,192,1225
inception_v3,256,35,35,64,1,1,0,0,1,1,1,1,35,35,64,256,1225
inception_v3,256,35,35,48,1,1,0,0,1,1,1,1,35,35,48,256,1225
inception_v3,48,35,35,64,5,5,2,2,1,1,1,1,35,35,64,1200,1225
inception_v3,256,35,35,64,1,1,0,0,1,1,1,1,35,35,64,256,1225
inception_v3,64,35,35,96,3,3,1,1,1,1,1,1,35,35,96,576,1225
inception_v3,96,35,35,96,3,3,1,1,1,1,1,1,35,35,96,864,1225
inception_v3,256,35,35,64,1,1,0,0,1,1,1,1,35,35,64,256,1225
inception_v3,288,35,35,64,1,1,0,0,1,1,1,1,35,35,64,288,1225
inception_v3,288,35,35,48,1,1,0,0,1,1,1,1,35,35,48,288,1225
inception_v3,48,35,35,64,5,5,2,2,1,1,1,1,35,35,64,1200,1225
inception_v3,288,35,35,64,1,1,0,0,1,1,1,1,35,35,64,288,1225
inception_v3,64,35,35,96,3,3,1,1,1,1,1,1,35,35,96,576,1225
inception_v3,96,35,35,96,3,3,1,1,1,1,1,1,35,35,96,864,1225
inception_v3,288,35,35,64,1,1,0,0,1,1,1,1,35,35,64,288,1225
inception_v3,288,35,35,384,3,3,0,0,2,2,1,1,17,17,384,2592,289
inception_v3,288,35,35,64,1,1,0,0,1,1,1,1,35,35,64,288,1225
inception_v3,64,35,35,96,3,3,1,1,1,1,1,1,35,35,96,576,1225
inception_v3,96,35,35,96,3,3,0,0,2,2,1,1,17,17,96,864,289
inception_v3,768,17,17,192,1,1,0,0,1,1,1,1,17,17,192,768,289
inception_v3,768,17,17,128,1,1,0,0,1,1,1,1,17,17,128,768,289
inception_v3,128,17,17,128,1,7,0,3,1,1,1,1,17,17,128,896,289
